Date,2012,2013,2014,2015,2016,2017,2018
Jan-01,,100.15,119.55,114.32,104.33,96.19,112.93
Jan-02,,102.62,122.92,116.10,106.59,97.71,116.53
Jan-03,,104.54,125.51,117.63,107.67,98.99,119.64
Jan-04,,105.70,127.78,117.33,109.16,99.63,122.02
Jan-05,,105.49,129.42,116.83,109.22,100.63,124.09
Jan-06,,104.64,129.68,116.89,109.18,102.09,126.50
Jan-07,,104.56,129.05,117.03,108.86,103.57,127.22
Jan-08,,104.43,128.16,117.11,109.38,104.49,127.18
Jan-09,,104.64,126.79,115.85,109.93,104.78,126.60
Jan-10,,104.04,125.94,114.12,109.58,106.69,126.19
Jan-11,,103.84,125.21,114.57,109.59,106.92,125.65
Jan-12,,103.30,124.59,115.35,108.93,106.83,124.00
Jan-13,,103.66,124.50,115.88,108.24,106.77,123.60
Jan-14,,104.18,124.22,117.06,107.51,106.95,122.69
Jan-15,,103.64,123.58,117.51,108.13,106.89,121.15
Jan-16,,103.49,123.49,118.07,109.42,105.93,119.65
Jan-17,,103.38,123.27,119.36,111.07,105.31,121.72
Jan-18,,103.52,122.43,120.08,111.98,104.38,121.37
Jan-19,,103.13,121.82,119.35,111.84,102.90,121.22
Jan-20,,103.40,121.07,120.86,111.40,102.17,120.45
Jan-21,,104.04,120.80,121.00,110.57,101.11,119.87
Jan-22,,104.46,120.24,121.14,110.63,100.75,119.50
Jan-23,,104.56,120.85,120.83,110.97,100.07,119.20
Jan-24,,102.84,121.17,120.75,111.00,100.46,119.08
Jan-25,,103.40,119.88,120.91,110.06,100.29,120.27
Jan-26,,104.41,118.62,121.55,108.54,102.03,121.00
Jan-27,,105.76,119.83,121.64,107.77,102.55,120.14
Jan-28,,107.75,119.99,120.43,107.96,102.89,119.44
Jan-29,,109.54,118.82,120.56,107.58,103.44,119.93
Jan-30,,111.15,117.64,120.40,107.59,103.88,120.62
Jan-31,,112.97,116.61,120.94,108.81,103.58,120.74
Feb-01,,114.84,116.04,121.78,109.31,102.83,121.53
Feb-02,,115.40,115.62,122.70,110.09,103.13,121.50
Feb-03,,116.39,115.92,122.14,110.63,103.86,123.13
Feb-04,,116.66,115.92,120.69,110.82,105.71,122.63
Feb-05,,118.33,115.43,120.46,111.61,107.35,121.02
Feb-06,,119.07,115.93,120.18,112.92,108.52,121.62
Feb-07,,118.91,116.73,119.75,113.64,108.77,119.63
Feb-08,,118.68,116.98,119.67,115.47,108.41,120.54
Feb-09,,119.24,117.27,119.91,116.72,108.06,121.43
Feb-10,,119.16,117.90,119.80,117.32,108.00,120.80
Feb-11,,119.24,118.80,120.67,117.33,107.60,120.52
Feb-12,,119.46,119.76,121.65,117.23,107.29,121.09
Feb-13,,119.40,120.91,122.85,117.45,106.60,119.49
Feb-14,,120.03,122.00,124.54,117.24,106.14,119.70
Feb-15,,120.72,122.60,125.09,117.01,106.74,120.63
Feb-16,,121.47,122.82,125.72,117.68,108.25,121.61
Feb-17,,122.67,123.06,126.77,117.55,110.50,122.58
Feb-18,,124.38,123.19,126.75,117.89,112.87,121.96
Feb-19,,126.26,122.62,126.20,117.83,114.74,121.29
Feb-20,,127.09,123.38,125.04,117.74,116.55,120.15
Feb-21,,127.15,125.45,125.08,117.04,118.39,119.95
Feb-22,,126.92,126.51,125.73,117.39,118.88,120.15
Feb-23,,127.09,128.20,126.40,117.38,119.83,120.81
Feb-24,,127.27,129.56,126.70,117.18,120.53,121.38
Feb-25,,128.14,129.71,127.54,117.51,120.74,121.38
Feb-26,,128.75,130.69,127.86,118.63,119.74,121.74
Feb-27,,128.81,131.46,129.70,118.76,122.30,122.10
Feb-28,,128.85,132.34,132.51,118.99,122.31,121.85
Feb-29,,129.23,132.12,132.64,118.83,122.21,122.10
Mar-01,,129.51,131.95,132.86,120.75,122.18,122.29
Mar-02,,129.57,131.28,133.70,123.55,123.11,123.07
Mar-03,,129.75,131.45,134.86,126.21,125.38,124.20
Mar-04,,130.67,132.39,134.73,128.34,126.88,126.00
Mar-05,,131.59,132.39,135.80,128.87,128.62,128.11
Mar-06,,132.06,133.28,136.56,129.07,129.84,129.98
Mar-07,,131.85,135.51,136.95,128.97,130.98,131.65
Mar-08,,131.25,136.83,137.20,129.41,131.73,132.72
Mar-09,,131.73,137.73,137.11,130.85,132.86,133.64
Mar-10,,131.90,138.93,137.25,132.45,132.84,134.25
Mar-11,,133.04,139.30,136.81,133.16,131.01,135.25
Mar-12,,133.76,139.89,137.48,133.81,129.50,136.45
Mar-13,,133.99,140.85,139.00,134.48,131.11,137.95
Mar-14,,134.60,142.09,140.17,135.70,131.80,139.31
Mar-15,,134.59,143.17,140.49,136.18,133.58,140.12
Mar-16,,134.42,143.43,140.09,137.04,136.00,141.30
Mar-17,,134.32,144.20,139.97,137.62,137.59,142.48
Mar-18,,134.36,145.09,139.91,138.29,138.54,143.80
Mar-19,,135.32,146.53,140.91,139.22,138.61,145.54
Mar-20,,136.29,147.29,142.19,140.41,137.60,146.50
Mar-21,,137.84,147.71,142.56,141.46,137.95,146.53
Mar-22,,138.99,148.76,142.33,142.62,138.49,147.03
Mar-23,,140.09,149.53,143.39,143.71,138.41,148.05
Mar-24,,141.33,150.33,144.28,145.18,138.62,148.98
Mar-25,,142.68,151.87,145.37,147.16,138.83,149.78
Mar-26,,144.15,153.57,146.53,148.98,140.54,149.96
Mar-27,,146.14,155.33,148.07,150.25,141.62,150.86
Mar-28,,148.35,157.35,149.74,151.88,141.78,151.26
Mar-29,,150.15,157.53,150.66,152.52,142.14,152.46
Mar-30,,151.76,156.84,152.48,153.87,143.01,154.17
Mar-31,,152.20,157.19,153.75,155.44,143.66,154.78
Apr-01,,151.68,157.39,155.33,155.23,144.90,155.04
Apr-02,,151.10,157.72,156.95,155.30,146.26,156.15
Apr-03,,151.49,157.97,158.00,156.01,147.48,157.79
Apr-04,,151.67,158.67,158.68,157.63,150.82,158.30
Apr-05,,151.77,160.37,159.63,156.92,152.26,158.47
Apr-06,,151.76,161.92,160.69,159.74,152.52,159.77
Apr-07,,152.23,163.82,161.23,161.11,153.06,160.95
Apr-08,,153.45,165.41,160.72,162.15,154.38,162.43
Apr-09,,154.05,166.66,160.89,163.62,155.76,163.14
Apr-10,,154.80,168.43,161.47,164.23,157.02,163.27
Apr-11,,155.07,169.18,162.43,164.18,158.22,164.03
Apr-12,,155.99,169.52,163.38,163.75,159.46,164.74
