Date,2012,2013,2014,2015,2016,2017,2018
Jan-01,,12639,15227,14537,13143,11872,13883
Jan-02,,12954,15698,14810,13429,12185,14418
Jan-03,,13224,16066,15033,13614,12461,14875
Jan-04,,13419,16338,15127,13808,12614,15223
Jan-05,,13489,16506,15081,13962,12779,15517
Jan-06,,13467,16602,15026,14043,12882,15758
Jan-07,,13476,16567,15016,14082,13023,15902
Jan-08,,13553,16453,15055,14200,13139,15915
Jan-09,,13615,16381,14964,14348,13260,15875
Jan-10,,13644,16377,14892,14457,13465,15898
Jan-11,,13603,16383,14961,14498,13522,15883
Jan-12,,13662,16419,15168,14390,13491,15811
Jan-13,,13769,16433,15355,14276,13486,15779
Jan-14,,13885,16451,15556,14228,13546,15804
Jan-15,,13953,16467,15705,14302,13617,15811
Jan-16,,13975,16528,15832,14538,13636,15845
Jan-17,,13938,16545,16006,14749,13619,15830
Jan-18,,13943,16505,16151,14887,13591,15806
Jan-19,,13970,16464,16260,14937,13586,15750
Jan-20,,14035,16427,16328,14933,13571,15599
Jan-21,,14163,16378,16413,14867,13515,15493
Jan-22,,14239,16416,16445,14885,13486,15504
Jan-23,,14245,16504,16512,14968,13513,15559
Jan-24,,14262,16557,16496,15020,13565,15619
Jan-25,,14354,16509,16512,14941,13633,15682
Jan-26,,14492,16479,16561,14803,13692,15661
Jan-27,,14719,16494,16559,14713,13762,15658
Jan-28,,14973,16438,16519,14673,13831,15671
Jan-29,,15223,16280,16529,14676,13897,15761
Jan-30,,15477,16202,16584,14715,13975,15932
Jan-31,,15746,16109,16721,14814,14034,16098
Feb-01,,15990,16038,16861,14924,14013,16323
Feb-02,,16135,16035,16926,15015,14047,16466
Feb-03,,16244,16003,16970,15150,14146,16570
Feb-04,,16359,15964,16887,15312,14361,16553
Feb-05,,16526,15939,16723,15513,14545,16390
Feb-06,,16672,15898,16632,15719,14717,16317
Feb-07,,16737,15941,16610,15922,14760,16235
Feb-08,,16806,15995,16685,16091,14718,16231
Feb-09,,16909,16072,16754,16208,14672,16254
Feb-10,,16956,16044,16833,16230,14658,16252
Feb-11,,17042,16111,16968,16204,14570,16230
Feb-12,,17158,16252,17112,16237,14586,16316
Feb-13,,17232,16498,17308,16271,14640,16310
Feb-14,,17315,16754,17521,16304,14740,16319
Feb-15,,17386,16940,17616,16376,14898,16364
Feb-16,,17488,17069,17695,16330,15109,16474
Feb-17,,17650,17094,17687,16324,15423,16579
Feb-18,,17859,17171,17671,16356,15748,16595
Feb-19,,18051,17265,17662,16363,16020,16503
Feb-20,,18198,17494,17594,16351,16290,16473
Feb-21,,18253,17742,17620,16321,16474,16453
Feb-22,,18256,17915,17687,16383,16660,16573
Feb-23,,18355,18056,17785,16510,16783,16666
Feb-24,,18493,18169,17832,16674,16883,16695
Feb-25,,18693,18268,17913,16747,16949,16731
Feb-26,,18847,18370,18023,16844,17045,16814
Feb-27,,18897,18506,18262,16901,17061,16849
Feb-28,,18954,18578,18473,16903,17092,16915
Feb-29,,18984,18565,18495,16996,17124,16985
Mar-01,,19052,18541,18514,17211,17183,17017
Mar-02,,19032,18486,18559,17524,17356,17138
Mar-03,,18963,18578,18631,17793,17649,17294
Mar-04,,19013,18679,18681,18048,17892,17542
Mar-05,,19141,18798,18748,18147,18036,17790
Mar-06,,19250,18916,18849,18240,18182,18062
Mar-07,,19277,18996,18899,18326,18320,18316
Mar-08,,19271,19113,18805,18412,18386,18528
Mar-09,,19348,19247,18788,18557,18480,18714
Mar-10,,19439,19464,18862,18745,18454,18908
Mar-11,,19603,19760,18919,18922,18332,19115
Mar-12,,19712,20007,19052,18973,18240,19374
Mar-13,,19787,20250,19226,19071,18248,19616
Mar-14,,19868,20439,19401,19211,18377,19820
Mar-15,,19860,20620,19458,19324,18539,19965
Mar-16,,19841,20711,19427,19396,18741,20082
Mar-17,,19829,20844,19393,19507,18877,20180
Mar-18,,19756,21076,19435,19615,18943,20295
Mar-19,,19807,21239,19534,19770,18960,20408
Mar-20,,19905,21335,19723,19920,18934,20543
Mar-21,,20015,21338,19898,20058,18894,20578
Mar-22,,20174,21320,20004,20229,18946,20638
Mar-23,,20328,21289,20155,20410,18985,20767
Mar-24,,20495,21319,20317,20543,19027,20841
Mar-25,,20730,21506,20486,20708,19164,20974
Mar-26,,20969,21722,20651,20939,19350,21093
Mar-27,,21233,21951,20806,21131,19518,21223
Mar-28,,21503,22063,20927,21215,19604,21297
Mar-29,,21767,22028,21093,21306,19683,21437
Mar-30,,22012,22028,21269,21402,19826,21583
Mar-31,,22084,22048,21456,21533,20001,21643
Apr-01,,22037,22048,21639,21574,20153,21621
Apr-02,,21930,22081,21761,21617,20378,21661
Apr-03,,21822,22186,21869,21732,20640,21757
Apr-04,,21744,22331,21910,21881,20866,21767
Apr-05,,21686,22479,22005,21994,20966,21846
Apr-06,,21712,22653,22073,22054,21012,21957
Apr-07,,21799,22887,22059,22145,21117,22119
Apr-08,,21969,23060,22070,22220,21268,22271
Apr-09,,22161,23218,22097,22259,21382,22351
Apr-10,,22209,23354,22226,22318,21488,22419
Apr-11,,22231,23352,22405,22359,21584,22442
Apr-12,,22262,23282,22545,22401,21624,22488
Apr-13,,22332,23265,22605,22414,21647,22605
Apr-14,,22430,23273,22591,22426,21635,22738
Apr-15,,22511,23303,22556,22411,21605,22749
Apr-16,,22559,23270,22512,22468,21630,22712
Apr-17,,22581,23126,22508,22513,21678,22709
Apr-18,,22621,23029,22393,22539,21712,22746
Apr-19,,22675,22965,22283,22503,21785,22810
Apr-20,,22798,22997,22271,22440,21824,22891
Apr-21,,22900,23035,22267,22355,21840,22987
Apr-22,,22853,23018,22215,22317,21877,23027
Apr-23,,22717,23089,22111,22293,21952,23048
Apr-24,,22644,23191,21976,22301,22035,23029
Apr-25,,22597,23318,21867,22325,22061,23049
Apr-26,,22566,23487,21803,22255,22087,23092
Apr-27,,22530,23614,21851,22129,22116,23150
Apr-28,,22520,23672,21992,22116,22096,23227
Apr-29,,22558,23658,22149,22102,22077,23268
Apr-30,,22461,23599,22317,22021,22101,23130
May-01,,22291,23515,22489,21882,22116,23044
May-02,,22177,23393,22689,21781,22205,22926
May-03,,22137,23243,22802,21694,22230,22853
May-04,,22101,23192,22775,21654,22292,22851
May-05,,22073,23253,22614,21591,22342,22811
May-06,,22138,23285,22404,21561,22378,22785
May-07,,22286,23230,22219,21549,22400,22719
May-08,,22375,23131,22052,21495,22362,22663
May-09,,22388,22967,21899,21454,22371,22694
May-10,,22344,22894,21722,21381,22385,22643
May-11,,22354,22837,21587,21231,22413,22518
May-12,,22366,22775,21518,21028,22379,22339
May-13,,22378,22733,21488,20905,22270,22141
May-14,,22257,22659,21421,20831,22128,21985
May-15,,22048,22548,21432,20715,21899,21842
