ERA40,1960s,1980s,2000s,2010s,C2011,C2012,C2013,C2014,C2015,C2016,C2017
29,32,27,25,24,30,26,19,26,26,20,21
58,64,54,50,47,57,51,37,53,50,43,42
88,96,81,75,71,83,77,57,80,75,66,62
118,128,109,101,95,110,101,80,109,101,90,83
148,161,138,127,120,135,122,102,137,124,116,104
178,193,167,153,144,158,140,119,166,145,142,126
207,225,196,179,167,183,157,136,194,169,166,151
237,257,225,205,190,207,180,153,221,192,188,176
267,289,253,233,213,232,203,174,245,213,210,200
297,322,283,260,236,257,224,198,268,235,232,225
326,355,314,286,260,282,245,222,290,256,255,248
356,387,344,313,283,308,271,247,312,278,278,271
386,419,374,339,307,330,298,273,335,301,299,293
416,450,405,365,331,353,321,299,360,325,321,314
446,480,436,391,354,379,340,325,387,352,342,337
476,511,467,418,379,407,353,351,415,379,364,357
505,542,497,445,402,435,369,375,441,408,386,373
535,574,526,472,426,465,386,400,466,436,406,388
564,606,555,501,449,493,401,426,491,465,425,404
594,637,584,530,471,521,418,452,516,495,445,420
623,668,614,558,494,545,439,480,540,525,465,439
652,699,643,586,517,569,462,508,566,552,487,458
681,729,672,613,541,596,487,535,591,579,509,479
710,759,701,640,565,623,514,560,617,606,533,503
739,789,731,667,589,650,542,586,638,634,554,528
768,819,760,693,614,679,571,612,656,661,572,552
797,849,789,719,637,709,595,640,674,686,589,575
826,879,819,743,661,736,615,668,693,711,607,598
855,909,848,768,684,762,638,697,712,739,626,621
885,940,877,793,708,790,662,727,731,768,645,644
915,971,907,819,733,819,687,756,749,798,666,666
945,1004,936,844,758,849,714,786,768,829,689,689
975,1036,965,871,784,879,743,815,786,860,713,711
1005,1069,994,898,810,908,772,843,805,891,737,733
1034,1100,1022,926,835,937,799,869,825,917,761,755
1065,1131,1050,954,860,965,827,894,848,941,786,777
1095,1162,1079,982,884,993,855,921,873,964,811,800
1126,1193,1107,1010,908,1023,879,947,896,989,836,823
1156,1224,1135,1039,933,1050,900,971,919,1015,861,847
1187,1256,1164,1067,957,1077,919,997,943,1041,886,866
1217,1288,1192,1096,980,1103,938,1024,966,1065,911,883
1247,1320,1219,1123,1003,1127,960,1053,986,1088,934,898
1278,1353,1248,1151,1025,1149,984,1083,1000,1112,957,917
1307,1386,1276,1179,1047,1168,1009,1113,1015,1136,982,938
1337,1418,1304,1207,1069,1187,1035,1143,1031,1160,1007,961
1367,1449,1333,1236,1091,1206,1062,1173,1047,1186,1031,984
1396,1479,1361,1263,1115,1227,1087,1204,1064,1213,1052,1009
1426,1509,1390,1291,1138,1248,1110,1236,1082,1238,1073,1034
1455,1539,1419,1318,1161,1271,1132,1269,1098,1262,1094,1060
1485,1569,1448,1345,1184,1297,1154,1302,1116,1287,1112,1087
1515,1600,1477,1371,1208,1323,1176,1337,1140,1310,1128,1116
1544,1630,1507,1398,1232,1352,1200,1372,1165,1333,1145,1145
1574,1661,1537,1426,1256,1381,1225,1405,1193,1357,1161,1175
1605,1691,1567,1454,1281,1410,1250,1438,1223,1380,1178,1203
1635,1722,1598,1482,1305,1439,1272,1470,1252,1403,1195,1231
1666,1754,1628,1509,1330,1469,1292,1501,1280,1427,1213,1258
