ERA40,1960s,1980s,2000s,2010s,C20156,C20167,C20178,C201920
3.8,3.4,3,3.2,2.1,3.5,0.6,2.6,1.9
7,7,6.3,6.7,4.4,7.3,2,5.7,4.0
10.5,11.2,9.6,10.4,6.8,10.7,3.6,9,5.8
14.3,15.8,13.1,14.4,9.8,13.9,5,12.4,8.0
18.3,20.7,17.1,18.5,13.2,16.7,6.4,16.1,10.7
22.5,26.3,21.6,22.6,16.4,19.4,9,19.5,13.7
27.2,32.1,26.8,26.9,19.7,22.7,12.4,21.9,17.1
32.2,38.3,32.3,31.3,23.3,26.2,15.3,24.2,20.9
37.5,44.6,37.8,36.3,27.6,30.4,18.7,27.1,24.8
43,51.1,43.3,41.3,32.3,34.5,23,31,28.4
48.6,57.3,49.1,46.5,37.2,39.1,28.4,34.8,31.5
54.5,63.4,55.4,52.1,42.1,44,33.9,38.1,34.5
60.8,70,62.1,57.8,47.5,49.5,38.9,42.6,37.3
67.3,77.1,69.3,63.7,52.6,54.8,43.1,47.1,40.1
74.2,84.6,76.7,69.8,57.9,60.7,46.6,52,42.9
81.4,92.1,84.6,76.5,63.3,67.3,49.5,56.6,46.2
89,99.7,93.1,83.6,68.7,74,52.8,61.4,50.5
97,108.2,102,91.1,74.4,81.7,58.7,67.4,55.6
105.2,117.2,111,98.8,80.6,89.4,64.6,73.3,60.5
114.1,126.2,120.8,106.4,87.4,97.7,67.9,79.3,65.2
123.1,135.3,131.6,113.7,94.7,106.8,71.8,84.5,69.7
132.5,144.4,142.5,121.3,102.2,116.9,76.9,89.2,74.4
142.2,153,153.4,129.1,110,127.5,83,94.7,79.5
152.1,162.5,164.5,136.8,118.1,138.2,89.6,101,84.1
162.4,172.6,175.8,144.7,126.8,148.3,96.3,108.1,89.4
173.1,183.4,187.5,152.7,135.2,157.8,102.2,115.4,95.3
184.1,194.8,199.3,161.5,144,168.1,107.6,124,102.0
195.2,206.7,211.3,170.8,152.8,178.4,112.6,132.4,107.8
206.5,219.3,223.8,180.3,161.5,189.9,117.6,139.8,113.0
218.3,232.2,236.3,190.4,170.2,200.1,123.8,147.9,118.6
230.5,245.5,248.7,201.4,179.5,208.2,131.3,156.6,124.7
243.1,259.4,261.8,212.8,188.8,215.9,139,164.4,131.0
256,273.6,275.6,224.2,198.5,223.4,146.3,172.3,137.7
269.3,288,289.8,235.6,208.7,231.3,152.2,180.3,144.7
282.9,302.7,303.8,247.6,219.7,240.1,157,188.7,152.0
