ERA40,1960s,1980s,2000s,2010s,C2015,C2016,C2017,C2018
29,32,27,24,24,26,20,21,22
58,64,55,48,47,50,43,42,45
88,96,83,73,71,75,66,62,69
118,128,113,98,96,101,90,83,94
148,159,143,122,120,124,116,104,120
178,190,173,147,143,145,142,126,146
207,222,203,172,166,169,166,151,173
237,254,233,198,190,192,188,176,199
267,286,264,224,213,213,210,200,224
297,318,295,251,236,235,232,225,248
326,351,326,277,259,256,255,248,274
356,383,355,304,283,278,278,271,301
386,414,386,330,307,301,299,293,326
416,445,417,356,331,325,321,314,351
446,476,448,382,355,352,342,337,376
476,507,479,409,379,379,364,357,403
505,538,509,437,402,408,386,373,428
535,570,538,466,425,436,406,388,452
564,601,569,494,448,465,425,404,476
594,632,599,523,470,495,445,420,497
623,663,629,551,494,525,465,439,516
652,693,660,578,517,552,487,458,535
681,724,690,606,541,579,509,479,552
710,754,720,633,566,606,533,503,569
739,784,751,660,590,634,554,528,587
768,813,780,686,614,661,572,552,607
797,843,810,711,637,686,589,575,629
826,873,840,737,660,711,607,598,654
855,903,869,762,684,739,626,621,679
885,935,898,788,709,768,645,644,705
915,967,928,815,734,798,666,666,732
945,999,957,842,760,829,689,689,758
975,1032,986,870,786,860,713,711,782
1005,1063,1015,899,812,891,737,733,806
1034,1094,1044,928,836,917,761,755,828
1065,1125,1073,957,860,941,786,777,842
1095,1156,1102,986,885,964,811,800,860
1126,1188,1132,1015,909,989,836,823,881
1156,1220,1161,1044,933,1015,861,847,903
1187,1252,1189,1073,957,1041,886,866,925
1217,1285,1217,1101,979,1065,911,883,945
1247,1318,1245,1129,1001,1088,934,898,964
1278,1351,1274,1156,1023,1112,957,917,982
1307,1384,1302,1184,1045,1136,982,938,1000
1337,1415,1331,1212,1068,1160,1007,961,1019
1367,1446,1360,1239,1091,1186,1031,984,1039
1396,1477,1389,1266,1114,1213,1052,1009,1059
1426,1508,1418,1293,1137,1238,1073,1034,1078
1455,1539,1447,1319,1160,1262,1094,1060,1097
1485,1570,1477,1345,1184,1287,1112,1087,1116
1515,1601,1507,1372,1208,1310,1128,1116,1135
1544,1632,1537,1400,1233,1333,1145,1145,1149
1574,1662,1568,1427,1257,1357,1161,1175,1163
1605,1694,1599,1454,1282,1380,1178,1203,1173
1635,1726,1629,1481,1306,1403,1195,1231,1185
1666,1758,1660,1508,1329,1427,1213,1258,1194
1697,1790,1691,1535,1353,1451,1230,1283,1207
1727,1822,1722,1563,1377,1476,1251,1309,1227
1758,1854,1753,1592,1402,1501,1272,1333,1249
1788,1885,1784,1622,1427,1527,1294,1356,1271
1818,1917,1816,1651,1453,1555,1316,1380,1293
1848,1948,1847,1681,1479,1583,1339,1402,1316
1878,1979,1878,1711,1504,1609,1362,1428,1338
1907,2009,1908,1741,1528,1632,1385,1452,1361
1936,2039,1937,1772,1553,1653,1409,1475,1385
1965,2071,1967,1803,1577,1672,1433,1501,1409
1995,2102,1996,1833,1601,1691,1458,1528,1434
2024,2133,2025,1863,1625,1709,1482,1554,1459
2054,2164,2056,1893,1648,1726,1505,1580,1485
2084,2197,2085,1923,1670,1744,1526,1605,1512
2113,2229,2114,1952,1694,1764,1548,1627,1539
2142,2260,2143,1981,1717,1785,1564,1648,1566
2171,2291,2171,2009,1740,1808,1581,1669,1594
2200,2321,2199,2036,1764,1833,1601,1692,1621
2229,2352,2227,2062,1789,1857,1623,1716,1649
2257,2382,2255,2089,1813,1881,1644,1741,1676
2285,2412,2282,2116,1838,1906,1668,1765,1703
2312,2443,2309,2142,1862,1932,1692,1786,1729
2340,2474,2336,2169,1885,1958,1715,1807,1756
2367,2504,2364,2196,1908,1983,1737,1828,1784
2394,2534,2392,2224,1932,2009,1759,1850,1813
2422,2563,2421,2252,1955,2034,1780,1872,1842
2450,2592,2450,2279,1978,2059,1799,1894,1867
2477,2621,2478,2304,2001,2083,1819,1917,1892
2505,2650,2505,2331,2025,2107,1840,1939,1918
2532,2679,2533,2357,2048,2132,1862,1962,1941
2559,2707,2562,2384,2071,2156,1884,1985,1964
2586,2735,2591,2410,2093,2180,1904,2008,1986
2613,2763,2620,2437,2116,2205,1925,2028,2008
2639,2791,2648,2463,2138,2230,1946,2049,2031
2666,2819,2676,2490,2161,2255,1968,2068,2055
2692,2847,2704,2516,2184,2281,1990,2088,2079
2718,2875,2732,2541,2206,2305,2012,2109,2102
2743,2902,2759,2566,2227,2325,2033,2129,2125
2768,2928,2786,2591,2248,2345,2056,2148,2149
2794,2954,2813,2615,2269,2366,2080,2168,2172
2819,2979,2840,2640,2291,2388,2104,2189,2193
2844,3004,2867,2664,2313,2406,2127,2212,2213
2868,3028,2893,2688,2334,2421,2149,2234,2234
2891,3051,2918,2711,2355,2438,2171,2256,2254
2914,3074,2943,2733,2376,2456,2192,2278,2274
2937,3095,2967,2755,2397,2474,2212,2298,2293
2959,3116,2991,2775,2417,2491,2232,2317,2312
2981,3137,3014,2795,2437,2507,2252,2337,2332
3003,3158,3037,2814,2455,2521,2269,2355,2352
3024,3179,3058,2834,2473,2532,2287,2373,2373
3045,3199,3080,2853,2490,2542,2304,2388,2394
3066,3219,3101,2872,2507,2550,2320,2404,2414
3085,3239,3122,2890,2524,2562,2336,2420,2433
3105,3257,3142,2907,2541,2577,2352,2435,2450
3124,3276,3162,2925,2558,2592,2368,2449,2467
3142,3295,3180,2942,2574,2608,2383,2463,2482
3160,3313,3198,2958,2590,2623,2398,2475,2497
3177,3330,3215,2974,2605,2638,2412,2488,2511
3194,3348,3232,2989,2619,2651,2425,2502,2526
3211,3365,3248,3005,2633,2662,2439,2517,2540
3228,3383,3264,3021,2647,2673,2452,2531,2555
3244,3400,3279,3036,2660,2684,2465,2546,2571
3259,3415,3294,3050,2673,2696,2478,2560,2587
3274,3430,3308,3065,2686,2708,2490,2574,2601
3289,3445,3323,3079,2699,2721,2502,2589,2615
3303,3460,3336,3092,2711,2734,2514,2603,2628
3317,3475,3349,3106,2723,2748,2526,2618,2641
3330,3488,3362,3118,2736,2761,2538,2632,2652
3343,3502,3375,3130,2747,2775,2548,2645,2661
3355,3515,3388,3141,2759,2789,2558,2658,2670
3368,3527,3399,3153,2771,2804,2568,2671,2676
3379,3539,3410,3165,2782,2818,2579,2683,2681
3390,3551,3421,3176,2793,2833,2589,2696,2686
3401,3562,3431,3186,2805,2849,2598,2708,2692
3411,3573,3441,3197,2816,2864,2608,2721,2700
3421,3584,3450,3206,2827,2879,2617,2733,2708
3431,3594,3460,3216,2838,2893,2625,2744,2716
3440,3605,3469,3225,2849,2907,2633,2755,2724
3449,3615,3479,3234,2860,2921,2642,2766,2732
3458,3624,3487,3243,2871,2933,2649,2776,2739
3467,3634,3496,3252,2881,2944,2656,2786,2746
3475,3643,3504,3260,2890,2955,2662,2796,2753
3482,3651,3511,3268,2898,2966,2667,2805,2761
3489,3659,3518,3275,2906,2977,2672,2815,2768
3496,3666,3525,3282,2913,2986,2677,2824,2774
3501,3673,3531,3289,2920,2996,2682,2832,2780
3507,3679,3536,3295,2926,3005,2686,2839,2785
3512,3684,3542,3301,2932,3013,2690,2847,2790
3517,3689,3547,3306,2937,3019,2693,2854,2795
3521,3693,3551,3310,2942,3023,2697,2860,2800
3525,3697,3554,3315,2947,3028,2700,2865,2805
3528,3700,3557,3318,2951,3032,2703,2870,2809
3531,3703,3560,3321,2954,3035,2706,2874,2813
3534,3705,3563,3325,2958,3039,2707,2878,2818
3537,3708,3565,3328,2961,3042,2709,2882,2822
3539,3710,3567,3331,2964,3045,2711,2884,2826
3541,3712,3569,3333,2966,3046,2713,2886,2829
3543,3714,3571,3336,2968,3047,2715,2888,2832
3544,3715,3572,3338,2970,3048,2717,2890,2835
3545,3716,3573,3340,2972,3048,2718,2891,2838
3546,3717,3575,3342,2973,3049,2719,2893,2840
3547,3718,3575,3343,2975,3050,2719,2895,2842
3548,3719,3576,3344,2976,3051,2720,2896,2844
3548,3719,3577,3346,2977,3051,2720,2896,2846
3549,3720,3577,3346,2978,3051,2719,2897,2847
3549,3720,3577,3347,2979,3051,2719,2897,2848
3549,3720,3578,3348,2979,3050,2719,2897,2849
3549,3719,3578,3348,2979,3050,2718,2897,2849
3549,3719,3578,3348,2979,3050,2718,2897,2849
3549,3719,3578,3348,2979,3050,2717,2897,2849
3549,3718,3577,3348,2979,3049,2717,2896,2849
3548,3718,3577,3347,2979,3049,2716,2896,2849
3548,3717,3577,3347,2979,3049,2715,2896,2848
3547,3717,3576,3347,2979,3049,2714,2896,2848
3547,3716,3576,3346,2979,3049,2714,2895,2848
3546,3715,3575,3346,2978,3048,2713,2895,2847
3545,3714,3574,3345,2978,3047,2713,2895,2847
3544,3713,3573,3345,2977,3046,2712,2894,2846
3543,3712,3573,3344,2977,3045,2711,2894,2846
3542,3712,3572,3343,2977,3044,2711,2893,2845
3541,3711,3571,3342,2976,3043,2710,2892,2844
3540,3710,3570,3342,2976,3043,2710,2891,2844
3539,3708,3569,3341,2975,3042,2709,2891,2843
3538,3707,3568,3340,2974,3041,2708,2891,2843
3537,3706,3567,3339,2974,3041,2707,2890,2842
3536,3705,3566,3339,2973,3040,2706,2890,2841
3534,3704,3564,3338,2972,3039,2705,2890,2840
3533,3702,3563,3337,2971,3038,2705,2890,2839
3532,3701,3562,3336,2971,3037,2704,2889,2838
3531,3700,3561,3335,2970,3036,2703,2888,2837
3529,3699,3560,3334,2969,3035,2702,2887,2837
3528,3697,3559,3333,2968,3034,2701,2886,2836
3527,3696,3558,3332,2967,3032,2700,2885,2835
3526,3695,3556,3331,2966,3031,2698,2884,2834
3524,3694,3555,3330,2965,3030,2697,2883,2833
3523,3692,3554,3329,2964,3029,2696,2883,2833
3522,3691,3553,3328,2963,3028,2695,2882,2832
3521,3690,3552,3327,2962,3027,2694,2881,2831
3519,3688,3550,3326,2961,3026,2692,2880,2831
3518,3687,3549,3325,2960,3025,2691,2880,2830
3517,3686,3548,3324,2959,3023,2690,2879,2830
3516,3684,3547,3323,2958,3022,2689,2878,2829
3514,3683,3546,3322,2957,3020,2687,2877,2829
3513,3682,3544,3321,2956,3019,2686,2876,2828
3512,3681,3543,3319,2955,3018,2685,2875,2828
3510,3679,3542,3318,2955,3016,2685,2875,2827
3509,3678,3540,3317,2954,3016,2684,2874,2826
3508,3677,3539,3316,2953,3015,2683,2873,2826
3507,3676,3538,3315,2952,3014,2682,2872,2825
3506,3675,3537,3314,2951,3013,2680,2871,2825
3504,3674,3536,3313,2950,3012,2679,2870,2824
3503,3672,3535,3312,2949,3012,2679,2869,2823
3502,3671,3534,3312,2949,3011,2678,2868,2823
3501,3670,3533,3311,2948,3011,2677,2867,2823
3500,3669,3532,3310,2947,3010,2676,2867,2822
3499,3668,3531,3309,2947,3009,2675,2866,2821
3498,3667,3530,3309,2946,3008,2673,2865,2821
3497,3666,3529,3308,2945,3007,2672,2864,2820
3496,3665,3528,3307,2944,3007,2671,2863,2819
3495,3664,3528,3307,2944,3006,2670,2863,2818
3495,3663,3527,3306,2943,3005,2670,2862,2817
3494,3663,3526,3306,2942,3005,2669,2862,2816
3493,3662,3525,3305,2942,3004,2669,2862,2815
3493,3661,3525,3305,2941,3003,2669,2861,2814
3492,3660,3525,3305,2941,3003,2668,2861,2813
3492,3660,3524,3304,2941,3002,2668,2861,2812
3491,3659,3524,3304,2940,3002,2667,2861,2811
3491,3659,3524,3304,2940,3002,2667,2861,2810
3491,3658,3523,3304,2940,3001,2667,2861,2809
3490,3658,3523,3304,2940,3001,2667,2861,2808
3490,3658,3523,3304,2940,3000,2668,2861,2808
3490,3657,3523,3304,2940,3000,2669,2862,2807
3490,3657,3523,3305,2941,3000,2669,2862,2807
3490,3657,3523,3305,2941,3000,2670,2863,2807
3490,3657,3523,3305,2941,3000,2670,2864,2806
3490,3657,3523,3306,2942,3000,2672,2864,2806
3491,3657,3524,3307,2942,3000,2673,2864,2806
3492,3658,3525,3308,2943,3000,2674,2864,2806
3493,3659,3526,3309,2943,3000,2676,2864,2806
3494,3660,3527,3310,2944,3001,2678,2865,2805
3495,3661,3529,3312,2945,3002,2679,2865,2805
3496,3662,3530,3313,2946,3004,2680,2866,2806
3498,3663,3532,3314,2947,3006,2681,2866,2806
3499,3665,3534,3316,2949,3008,2682,2867,2807
3502,3667,3536,3318,2950,3010,2682,2869,2808
3504,3670,3538,3321,2952,3013,2683,2871,2809
3507,3673,3541,3324,2954,3016,2683,2873,2811
3510,3676,3544,3327,2956,3020,2685,2875,2812
3513,3679,3546,3330,2958,3023,2686,2877,2813
3517,3683,3550,3334,2960,3027,2688,2881,2815
3520,3687,3553,3337,2963,3029,2689,2884,2818
3524,3692,3557,3341,2966,3032,2692,2887,2820
3529,3697,3561,3345,2969,3035,2695,2891,2823
3533,3702,3565,3350,2972,3039,2698,2894,2825
3538,3708,3570,3354,2976,3043,2701,2897,2828
3544,3714,3576,3358,2979,3047,2706,2899,2831
3549,3721,3581,3363,2983,3052,2711,2902,2835
3555,3727,3587,3368,2988,3057,2717,2906,2840
3561,3733,3593,3373,2993,3062,2722,2910,2844
3567,3739,3599,3379,2998,3067,2726,2913,2848
3573,3746,3606,3385,3003,3073,2729,2918,2852
3580,3753,3613,3391,3008,3080,2732,2922,2856
3587,3761,3620,3397,3013,3087,2735,2927,2860
3595,3768,3628,3403,3018,3094,2741,2931,2865
3603,3776,3637,3411,3023,3102,2747,2936,2870
3611,3784,3645,3418,3028,3110,2751,2942,2876
3620,3793,3655,3426,3034,3120,2754,2948,2882
3629,3802,3664,3433,3041,3130,2760,2954,2888
3638,3811,3675,3441,3048,3140,2766,2959,2896
3648,3820,3686,3448,3056,3151,2772,2964,2904
3658,3829,3697,3456,3064,3161,2779,2970,2913
3668,3838,3708,3464,3072,3170,2785,2976,2922
3679,3849,3719,3472,3080,3181,2790,2983,2928
3690,3859,3731,3480,3087,3191,2795,2990,2933
3701,3871,3743,3488,3096,3203,2800,2999,2937
3713,3883,3755,3498,3104,3213,2806,3007,2941
3724,3895,3767,3507,3112,3221,2814,3015,2946
3737,3908,3780,3517,3121,3229,2822,3023,2950
3749,3921,3792,3528,3129,3236,2829,3032,2955
3762,3935,3805,3540,3138,3244,2835,3039,2960
3775,3950,3819,3551,3146,3253,2840,3047,2965
3789,3964,3833,3563,3155,3262,2844,3055,2968
3803,3979,3847,3575,3165,3273,2851,3064,2971
3816,3994,3861,3587,3176,3284,2858,3072,2975
3830,4009,3876,3600,3187,3293,2866,3081,2979
3845,4024,3891,3613,3198,3303,2873,3091,2983
3859,4039,3905,3626,3209,3312,2882,3102,2987
3874,4055,3920,3639,3220,3322,2890,3112,2992
3889,4071,3935,3652,3232,3334,2898,3123,2999
3905,4088,3950,3666,3245,3347,2906,3134,3006
3921,4105,3966,3679,3258,3361,2914,3146,3014
