Date,Europe,Scandinavia,West Europe,Central Europe,Southern Europe,Eastern Europe
1997/02/05,0.011,0.086,0.486,-0.218,0.632,-0.195
1997/02/06,0.03,0.104,0.529,-0.002,0.641,-0.246
1997/02/07,0.017,0.162,0.505,0.183,0.696,-0.365
1997/02/08,0.031,0.169,0.56,0.265,0.681,-0.372
1997/02/09,0.031,0.174,0.569,0.354,0.625,-0.391
1997/02/10,0.091,0.178,0.558,0.508,0.674,-0.328
1997/02/11,0.117,0.196,0.666,0.586,0.729,-0.341
1997/02/12,0.131,0.206,0.693,0.673,0.712,-0.346
1997/02/13,0.136,0.213,0.741,0.647,0.721,-0.341
1997/02/14,0.079,0.094,0.542,0.715,0.592,-0.373
1997/02/15,0.089,0.096,0.425,0.764,0.647,-0.358
1997/02/16,0.078,0.1,0.413,0.776,0.576,-0.366
1997/02/17,-0.007,-0.002,0.28,0.539,0.546,-0.399
1997/02/18,-0.028,-0.0,0.227,0.475,0.512,-0.403
1997/02/19,-0.059,0.035,0.187,0.545,0.475,-0.487
1997/02/20,-0.16,0.019,0.148,0.366,0.327,-0.591
1997/02/21,-0.084,-0.004,0.136,0.282,0.285,-0.378
1997/02/22,0.075,-0.012,0.143,0.523,0.291,-0.121
1997/02/23,0.126,-0.036,0.157,0.977,0.369,-0.182
1997/02/24,0.155,-0.035,0.373,0.914,0.436,-0.16
1997/02/25,0.043,-0.056,0.347,0.839,0.265,-0.317
1997/02/26,0.027,-0.006,0.285,0.797,0.263,-0.34
1997/02/27,0.022,0.162,0.251,0.745,0.224,-0.371
1997/02/28,0.36,0.154,0.153,1.051,0.252,0.262
1997/03/01,0.299,0.215,0.139,0.854,0.082,0.227
1997/03/02,0.305,0.245,0.131,0.813,0.134,0.231
1997/03/03,0.322,0.245,0.147,0.816,0.173,0.253
1997/03/04,0.288,0.37,0.214,0.671,0.147,0.183
1997/03/05,0.334,0.439,0.198,0.742,0.249,0.208
1997/03/06,0.37,0.469,0.261,0.937,0.244,0.198
1997/03/07,0.42,0.613,0.206,0.929,0.273,0.263
1997/03/08,0.413,0.625,0.269,0.912,0.363,0.214
1997/03/09,0.402,0.698,0.215,0.746,0.321,0.246
1997/03/10,0.793,0.745,0.181,0.866,0.417,1.005
1997/03/11,0.898,0.76,0.215,1.008,0.45,1.161
1997/03/12,0.999,0.775,0.375,1.146,0.431,1.298
1997/03/13,1.024,0.781,0.287,1.182,0.373,1.37
1997/03/14,0.944,0.728,0.262,1.191,0.322,1.232
1997/03/15,0.901,0.615,0.205,1.246,0.373,1.157
1997/03/16,0.873,0.634,0.193,1.17,0.364,1.121
1997/03/17,0.916,0.712,0.104,1.086,0.267,1.259
1997/03/18,0.908,0.755,0.127,0.922,0.148,1.312
1997/03/19,0.319,0.806,0.139,0.45,0.156,0.193
1997/03/20,-0.97,0.45,0.152,-2.38,0.153,-1.479
1997/03/21,-1.375,0.441,0.142,-2.817,0.159,-2.192
1997/03/22,-1.412,0.443,0.116,-2.832,0.176,-2.267
1997/03/23,-0.207,0.452,0.192,0.686,0.179,-0.913
1997/03/24,-0.165,0.42,0.272,0.779,0.22,-0.87
